,satisfaction_score,var_1,volume
0,0.0,-1.4741711470443375,-0.11417770690717877
1,1.0,0.9461200040252014,-5.946954541081427
2,1.0,0.4661921572682459,-5.034763228070981
3,0.0,-1.1971629463379216,-1.517868086997237
4,0.0,-3.3363046373220056,4.287310289616993
5,0.0,-0.09716540716957378,-4.521386717021347
6,1.0,-0.5272961913524609,-2.7733238686791295
7,1.0,-0.6447759011039643,-1.8917580611837814
8,0.0,-1.7398577537784345,-1.0275963967315453
9,1.0,0.062270103619066486,-4.128404720973974
10,1.0,-2.3600083248374846,2.913155344718711
11,1.0,-2.190764527920805,1.9091881341826653
12,1.0,-0.5355857380033683,-2.5840710127198725
13,0.0,0.294200535414767,-5.559735764879665
14,0.0,-0.014568586117862603,-3.8305832290263346
15,0.0,-0.11107159319362381,-4.239411941196048
16,0.0,-1.0450821320833459,-1.656539283667997
17,1.0,-1.4910052179762983,-0.36795958966842424
18,1.0,-0.6079703524931436,-2.5495778675361365
19,1.0,-0.7489422085619327,-1.9847835822039221
20,0.0,-1.57380879931197,-0.3099474887570617
21,1.0,-0.14471458216719046,-2.425659494452892
22,1.0,-0.3266048977452154,-3.3800594879715473
23,0.0,-2.114191271142264,1.289483563622717
24,1.0,2.799483817122776,-11.116263518064002
25,0.0,1.1707618667240958,-7.650424796189292
26,1.0,-0.9331424923013264,-1.3351367422475282
27,0.0,-0.6831947587243112,-3.357919430297107
28,0.0,-1.2475295538884061,-1.288533369042188
29,1.0,-0.49507500585532915,-1.4556692423565303
30,0.0,1.6654265350328856,-9.302328761146416
31,1.0,-0.9121750067720811,-1.0853542232471627
32,1.0,-1.0757051551314663,-1.4648890447764198
33,0.0,-1.0301702480565804,-2.172700423507775
34,0.0,-1.8698870839556967,0.28076132681092236
35,0.0,-1.5182817040916583,-1.2021431715910316
36,0.0,-1.045346998781654,-1.9595214853316456
37,1.0,-0.8233611133680716,-0.9777487061968277
38,1.0,-1.6546887821570209,0.5587196630133793
39,0.0,-1.0919059738757222,-1.8194599692280935
40,0.0,-0.9175288591591133,-2.3602697786650695
