,voter_turnout,var_1,laws_enacted,campaign_donations
0,0.0,-0.9385660626753254,-4.805360546477456,8.436406817916385
1,0.0,-0.5666328915751281,-3.8670954697516047,7.981630690486031
2,0.0,-2.3088813378831734,-5.1582792578671235,7.728844197144532
3,0.0,-0.6349773980260862,-4.656255080121811,7.672509641341913
4,0.0,0.545704562385253,-4.102197017615764,8.832092136687265
5,1.0,1.3854966139774871,-4.437846684152937,7.283896178396689
6,0.0,-1.9107484410992635,-3.5591966221891673,3.7996049163125303
7,0.0,-1.6363269617500928,-2.8078440681262213,4.671260788992544
8,1.0,0.5680898361353022,-2.261716708072288,3.8551751466148687
9,1.0,2.062723629442346,-4.648901854308427,10.189320309936635
10,0.0,0.2537967900498813,-5.211918823195463,9.949014122993624
11,1.0,1.5970654716050554,-4.167786037395579,7.8913369864798275
12,1.0,0.36817763137450743,-4.0520135348575375,6.982090526788786
13,1.0,1.8273680102361747,-5.852665055000676,12.49916629954609
14,0.0,0.15215306439873233,-4.370275402390159,9.0365015256485
15,0.0,0.2557195919646141,-5.846873078344842,11.412296850050074
16,0.0,-0.29378598064303735,-3.4497674305215495,6.138164361335398
17,0.0,-1.912329631929669,-2.6706139634272357,2.056141202048614
18,0.0,0.05345167846413737,-3.6125467077107256,9.341012014949474
19,1.0,2.7273249110918285,-3.615205260809631,8.376545590130515
20,0.0,0.49841070374307406,-4.213033491830913,11.115456707865704
21,1.0,0.0323201307776693,-4.020451058772245,7.229765498871275
22,0.0,-0.9136310303318081,-3.241854622097673,5.837727983180878
23,0.0,-0.23861419664987407,-5.024320952011178,11.011430293544407
24,0.0,-0.4512900733132405,-3.9165851296276224,8.625419582234144
25,0.0,-0.658538508510652,-4.337585443392651,9.479611164000108
26,0.0,-2.406440458887299,-2.835381321135732,4.345842833942864
27,0.0,-2.08199447773394,-3.965394011387424,4.541526901631106
28,0.0,-1.2191235470385346,-3.9448603879087645,7.307819762182387
29,1.0,0.6111982909171148,-4.524553178335436,6.967593583579614
30,0.0,-1.1560202125599037,-4.196564398115073,7.277745132268549
31,1.0,0.9567306027314896,-4.535773479251949,8.873396765507577
32,0.0,0.8447906603043671,-4.632975257370442,13.343200550880514
33,0.0,-1.7764529697548361,-2.015212151160747,3.8929462429578328
34,1.0,1.2618835813220708,-3.8150344384137718,7.239351142460921
