,lifespan-0,lifespan-1,rate_of_obesity-0,rate_of_obesity-1,vaccination_rates
0,1.0,0.0,5.274542895326101,4.984400913314433,38.738394663241465
1,1.0,0.0,4.338964273149639,3.1375041234305066,30.455914749653147
2,1.0,1.0,3.2231012485650545,3.3691041995952036,31.20264308304575
3,1.0,1.0,5.0704364433927065,4.865801944769698,42.041185917312106
4,1.0,0.0,5.1175783150548115,3.977458356462365,34.709857049726295
5,1.0,1.0,1.3468437415275907,0.22721586723690712,15.768228219986359
6,1.0,0.0,5.258031471701572,4.557742239309539,34.32965535334592
7,1.0,0.0,5.380786662694468,4.162972745039172,34.143912739451146
8,1.0,0.0,6.2939337147273156,4.977515445720508,38.51491147910718
9,0.0,0.0,3.960806142974299,-1.850298840374209,9.95482219929325
10,0.0,1.0,5.369193688444884,-5.096184753735143,5.849743457335057
11,0.0,1.0,4.700550143006123,-5.284266256833962,4.697972236276774
12,0.0,1.0,5.676628281048328,-4.768877861915341,5.756422199955292
13,0.0,0.0,5.517170212719743,-4.137832443337215,8.919281001524926
14,1.0,0.0,5.275833293430067,5.1031220232800205,34.90296766316144
15,1.0,0.0,4.656620917312738,4.377311210182887,34.009815780155925
16,0.0,0.0,4.0221315760331136,-2.8512952575846633,7.965535642982326
17,1.0,0.0,3.30229426452785,2.309968852962484,23.445594097351062
18,1.0,1.0,6.245842345167585,5.3684026073677344,46.66362839298456
19,0.0,1.0,3.8057145129555856,-2.4148399584935962,11.410019565917292
20,0.0,1.0,5.060803766211456,-3.7240025408282857,10.310681766912339
21,1.0,1.0,4.396287934205882,3.6520467340578464,35.676193108045595
22,1.0,1.0,6.719673087397603,5.441181286387488,48.415097361746945
23,0.0,0.0,5.650432293255617,-3.8620615820775877,9.834125291552965
24,1.0,1.0,4.221813362858209,3.7105731104727364,36.45710637270943
25,0.0,0.0,3.5457385363934772,-3.057735268962909,5.5846781287095695
26,1.0,1.0,4.825461037317317,3.628594882131702,38.12731600889107
27,1.0,1.0,3.045866132514224,1.8170422535027502,25.385741261288608
28,1.0,0.0,5.0094305863732895,3.172491963513161,32.104652992188946
29,0.0,0.0,3.4351695878297965,-2.932829521113141,5.263437866227321
30,1.0,1.0,5.904862984243063,6.260565126174941,50.20683829731578
31,1.0,1.0,4.63356165156244,4.562912212085543,40.505852567801725
32,1.0,1.0,3.748636815384158,2.064496984696536,29.394194639251978
33,1.0,0.0,5.131028518500804,4.104726517911398,33.57296405106709
34,1.0,0.0,1.547206726950836,0.591331670580461,14.116602238009474
35,0.0,1.0,3.4658607575979556,-1.428844204750887,12.940015765632264
36,0.0,0.0,3.0934871084897706,-2.0403234353137187,6.9798442649131776
37,0.0,1.0,4.825934689374036,-5.119975385710371,2.414804979659877
38,0.0,0.0,4.018313431043718,-2.8940316068422245,8.136899976726177
39,1.0,0.0,1.8095543270093422,0.8395591309757618,14.77429249218835
40,1.0,0.0,5.664078899946949,4.946130665727987,37.59581998089112
41,0.0,1.0,3.4884603009311084,-2.875705986483807,8.928172192300082
42,1.0,0.0,4.999251017031371,5.645359309925566,37.640275265797825
43,1.0,1.0,5.717512308452898,5.52067721910821,44.41037416946637
