,campaign_donations,voter_turnout,attendance_numbers,var_3
0,1.0,7.574885181926398,2.457646627222174,-23.280970052146923
1,1.0,9.391820887302671,3.653103556750626,-29.793451336793716
2,0.0,4.342554178305851,1.8327416801647407,-13.441702457329763
3,1.0,8.080602012640457,2.663870255346679,-25.40159208695009
4,1.0,8.707417243433781,3.1893063810453914,-27.700340108716798
5,0.0,5.026205703061719,2.1507738618737493,-15.669486073091285
6,1.0,9.89745218113703,3.5228741079210733,-30.998654299972213
7,1.0,9.550512902382666,3.4963199188266234,-30.287139951850698
8,1.0,9.230311499729751,2.8897380415684375,-28.651077717751228
9,1.0,11.311206872617305,4.1291110229262085,-35.75795734551513
10,1.0,9.534348036491195,3.5332084381345084,-30.21233421221319
11,1.0,10.210070984313523,3.788241679736701,-32.71076427915542
12,0.0,7.455499227961896,3.5189285734052937,-23.629551379913366
13,1.0,8.674158757541587,2.997389177884004,-27.299753846945734
14,0.0,3.3267989730000345,1.927881917084769,-10.726136423557275
15,0.0,5.093621510914007,2.7374248831274772,-15.965549726347504
16,1.0,8.387864156490116,2.8600761687167404,-26.314304690822482
17,1.0,8.696441566569947,3.108513090180479,-27.580710313331924
18,0.0,11.078938987632972,5.61622569104413,-36.096439000598025
19,1.0,8.853198747740166,3.0353753289817087,-27.647687753528633
20,1.0,12.226856907446068,4.771419234494466,-38.68643111102029
21,0.0,7.1852744896550504,3.4734446895941837,-23.13775678286163
22,1.0,10.944514845742258,3.9664790669199226,-34.204796501605905
23,1.0,10.066195407924331,3.1386417018694015,-31.573578592537174
24,0.0,8.440898332121481,4.0724796790893905,-26.72420540005038
25,0.0,4.993490158839809,2.656799193119515,-15.996668111072074
26,0.0,9.252794268845728,4.452616806927058,-29.24656773019904
27,1.0,9.323351944422622,3.2937561103892796,-29.156343037481985
28,1.0,10.899612269238126,4.243242336137991,-34.57069766931425
29,1.0,6.195115775551757,1.882178156576423,-19.328143947254997
30,0.0,8.240715435277592,4.485939278170491,-26.81636781247812
31,1.0,6.282180326374581,2.1062321539032,-19.94424129097942
32,0.0,4.727267248523019,1.833168935654142,-15.385554984295846
33,0.0,7.058342962779252,3.1224526385035336,-21.84365215987882
34,0.0,8.081414985241333,3.9405330222441926,-26.154776245942934
35,0.0,7.869691359275165,3.9745843288020635,-25.361939481832653
36,1.0,9.642170648827285,3.8177794028193297,-30.590408603828994
37,1.0,9.544242133595402,3.732740252163811,-30.609562228388164
38,1.0,9.450958303688973,3.1713997596608747,-29.37151078307748
39,0.0,7.026048245407736,3.4608662159658268,-22.562856996202324
40,0.0,6.378084034052283,3.010504764464315,-20.43698291097091
41,0.0,7.152578977056354,3.037647421601735,-22.36906238695202
42,1.0,11.18976934749646,4.403777311999955,-35.42829024375718
43,0.0,4.470593891581724,2.662339915084506,-15.16936886119907
44,1.0,10.323692900682929,3.0976345868861417,-32.62036456190554
45,1.0,11.539581426199133,5.107986331227275,-37.10614111607631
46,0.0,4.392024867879724,2.5379101937963684,-14.02489965813496
47,0.0,7.255254351084199,3.083292076007347,-22.492722353497523
48,0.0,8.303663316153791,3.684555214466331,-26.50162845149812
49,0.0,11.31150603825111,5.439206931932134,-36.331719869130495
50,1.0,10.837292480798174,3.811510477253753,-33.734679692765766
51,0.0,9.111030041577663,4.2466404686884704,-28.65860315391688
52,0.0,7.764171030270963,3.259501107281354,-24.80871256983772
53,1.0,11.120774872939199,4.02006110984935,-35.09535379792601
54,1.0,11.315124519153404,4.860681478731799,-36.22876169133797
55,1.0,6.281994828584512,2.0347437636837165,-19.62741088543974
56,0.0,8.4716189549758,4.151840777073959,-26.973913668290045
57,1.0,10.812124772760837,4.261677642208745,-34.46136721084351
58,1.0,5.957701950210046,1.6162420680109109,-18.700351749319395
59,0.0,4.47793649617328,2.691302372884494,-14.838253237106043
60,1.0,12.251041922910604,5.1491720301581285,-39.39386619845227
61,1.0,9.56095078917119,3.2797974493924493,-30.420426748005045
62,1.0,12.238194678844684,4.852944831431748,-38.79131365604537
63,1.0,12.826759216345422,4.80962217536619,-40.66693664724188
64,1.0,9.96873001897205,3.4952925698127735,-31.0215295376577
65,0.0,6.944250191511903,3.118130027229946,-22.075501099551122
66,1.0,7.219054434928647,2.387105304188986,-22.660451984171583
67,0.0,10.377146773791354,4.9297258930092775,-32.68978257005189
68,1.0,8.586138671117679,3.03250318329404,-26.627978331231127
69,0.0,7.924962414958388,3.2213718606699326,-24.593240184400656
70,0.0,9.820368092547879,4.722123220602498,-31.210140516196834
71,0.0,6.804361030740889,3.265748270159603,-21.25641487033421
72,0.0,8.714592826707001,4.175016111084226,-28.00289722099756
73,0.0,8.125188258251795,4.004766362339605,-26.006055766382172
74,1.0,12.078162249285121,4.806171379397612,-38.29053261481245
75,0.0,5.746112090214682,2.8511878367149475,-18.269458810697692
76,0.0,11.357965645378105,5.122738419628063,-36.01023458796411
77,1.0,12.251615789386022,4.677131381512302,-38.73657236894246
78,1.0,10.00043677101042,3.9118293239792106,-31.63652791962811
79,0.0,3.637687300715239,2.2188314669663347,-12.222418751836306
80,0.0,8.234273384943432,4.1220127257241685,-26.160992894047173
81,0.0,5.380931454644068,2.5614637854587845,-17.651572053788783
82,1.0,7.873429659774951,2.709965775216342,-24.928412609141315
83,1.0,9.427179253166486,3.590579716552412,-29.693522790178662
84,0.0,4.744803261500956,2.0756733384953927,-15.61399918195132
85,0.0,6.5642467745770485,2.7373694114778435,-20.28078805018443
86,0.0,5.183570870894071,2.531804899580009,-16.51510319802102
87,1.0,9.060329365914686,2.887509200527614,-28.325158299871674
88,0.0,6.193633535237467,2.9688603310508506,-20.386468522998776
89,1.0,5.3884296532372185,1.5739696692138931,-16.854583798850726
