,affiliation_party,var_1,political_attendance,legislation_passed
0,0.0,-2.9400558701289006,4.315403136941815,-3.036444843879044
1,0.0,-2.9641497738796256,3.5770897823961265,-3.446073787790101
2,0.0,-3.471959808754674,2.8904846490850025,-3.303224601579624
3,0.0,-5.239463922896556,3.5391490998153174,-2.756953636295643
4,0.0,-3.791788596779127,3.1249024390029705,-3.2172150251357676
5,0.0,-3.7332566942848544,3.5124898443514825,-3.7252380809846812
6,1.0,-4.340750731768332,3.6718971896594703,-7.318531336227467
7,0.0,-1.5482381759545198,3.0780929710497476,-4.422551058217405
8,0.0,-3.271063905801807,3.045938900212096,-3.6099317238881765
9,0.0,-5.473062073255152,3.623108137555327,-2.2855777051428743
10,0.0,-3.2548664399219294,2.9274501961581256,-2.159556272168877
11,0.0,-3.431782555650865,4.261909331336084,-2.325359694096631
12,1.0,-1.345653728234805,3.435580118186979,-9.01518133670087
13,0.0,-4.037009887032775,4.3940588801607845,-3.896819624421963
14,1.0,-2.6303904762449895,2.6554831511470365,-8.228620809038443
15,0.0,-4.230534389825006,3.585375264151329,-1.9404184202449906
16,0.0,-3.8106164437911922,3.0615012439633515,-2.514834958380888
17,0.0,-4.542578278652429,3.7239047903394233,-2.4575300275707974
18,1.0,-1.8059057285228466,3.5316878004399634,-9.696390404334956
19,0.0,-3.8847913911463277,3.2610690918029954,-1.255470043702238
20,0.0,-4.003064102205798,3.5336263594510373,-2.692908034327986
21,0.0,-3.5772735516496454,3.002045487093146,-3.2057804410180544
22,0.0,-4.559256416438709,4.366441429382867,-2.7540464563412876
23,1.0,-2.876487316894917,3.681771051768321,-8.49696961414034
24,0.0,-3.5324565555587015,3.9032342132989735,-2.843927488389985
25,1.0,-3.8762132767550925,3.817476664720494,-6.814459270277379
26,0.0,-3.0204701777536958,4.328457629454661,-3.279317756026254
27,0.0,-3.3147820988337817,4.458260861377037,-3.8585211627654434
28,1.0,-3.2195898347216168,4.0160170597163996,-9.738283288461588
29,1.0,-3.3419047577344942,5.1679952451993305,-7.998376426792218
30,0.0,-4.430396008712885,2.280665981779932,-1.7555768384634738
31,0.0,-3.1506266258966282,3.228972341805508,-2.5432958978730524
32,0.0,-4.00517315139919,2.70626720702436,-1.3613279892110677
33,0.0,-2.732601220687366,3.920176009401944,-3.568887615723873
34,0.0,-4.040332227577383,3.401626796029592,-2.106800021384907
35,0.0,-3.4658259956434296,3.287159882158552,-2.081867182273797
36,1.0,-1.3300588643376705,3.9980026444363297,-9.31201431988579
37,1.0,-3.148279211975592,3.518089725576866,-8.664283302935225
38,1.0,-3.9430435074903776,3.5067453235490573,-6.0905882580203725
39,0.0,-3.423681679825229,2.7767577456454084,-1.5613286796488375
40,0.0,-1.911202106327948,4.315301743514281,-2.4134775865947233
41,0.0,-3.8168661457997843,3.9243756208671154,-2.449742196806303
42,0.0,-3.5490449012581635,3.0145770837016324,-3.7156578922458654
43,1.0,-3.12615909817732,4.34427922104137,-7.677032396506748
44,0.0,-6.474916817194868,3.3633315344916825,-2.2368092920051414
45,1.0,-0.8749938970584594,4.146747882665932,-9.42048533046493
46,0.0,-3.280585404913378,3.5258477551107448,-2.131302739128009
47,0.0,-3.322712313540592,3.1703897107019863,-3.5482642805504607
48,0.0,-4.802295392373024,5.040862213555934,-3.645417588043511
49,0.0,-3.8888758644963115,3.5041277323312396,-3.125866877290756
50,1.0,-1.9742445805988724,2.836870009920272,-8.17796551173198
51,0.0,-2.674694629035667,4.041008961891025,-4.130238104000691
52,1.0,-3.9968540991750636,4.042009776178891,-9.425663970422931
53,0.0,-3.7492780605094724,3.2048441425160306,-4.259200136430738
54,0.0,-3.566160040458698,3.342351879855654,-3.267905721758982
55,0.0,-3.4062246791801285,2.809516895063661,-2.067826401086884
56,0.0,-3.6753075445576635,4.069903054236862,-1.560156496236843
57,0.0,-2.36469797999563,3.584112492905584,-3.2677369875502955
58,0.0,-2.6678195860718845,4.191599134845935,-3.3637134059841935
59,0.0,-5.215116453642533,3.3303953628160308,-2.395392903184888
60,1.0,-3.9217927309699734,4.89136822093931,-7.976960312963209
61,0.0,-3.4982897212991104,2.274746306906457,-3.5179538172234315
62,1.0,-3.1590391588550437,3.6854129711330987,-7.077450478715457
63,0.0,-4.276442182640467,2.7948753986317296,-2.680729161865166
64,0.0,-2.9157463445119753,2.5358492520070093,-2.499577082649839
65,1.0,-5.446852262759618,3.228370551458655,-7.907124286989358
66,0.0,-2.843044948387985,2.331231525718681,-1.236947937387427
67,0.0,-3.072163704822797,3.1423702401597398,-2.196757457825043
68,0.0,-5.653937975622929,4.790705133502761,-3.049668322248038
69,1.0,-2.542910314774102,3.4697284741546106,-8.710927475050681
70,1.0,-5.0732613293975035,3.09907707099557,-7.890749461539718
71,1.0,-2.409401431462582,2.728415698978507,-8.37448437651016
