,rallies_attended-0,rallies_attended-1,laws_enacted-0,laws_enacted-1,funds_received
0,0.0,0.0,-2.758176671826898,1.0135828945011731,-5.671999579535422
1,0.0,0.0,-2.054287684263294,0.7318390005723037,-7.433563558423874
2,0.0,1.0,-2.3022090687593937,0.747172412440033,-9.60551006824662
3,1.0,0.0,-2.239536470928779,0.1789065590743516,2.817311665889513
4,0.0,1.0,-1.7791413473816844,0.370590688633341,-7.319508051340737
5,1.0,0.0,-2.39837307053926,-0.5955493038309407,4.202128092045438
6,0.0,1.0,-0.9072367971528335,1.052213228256987,-11.242948230619607
7,1.0,1.0,0.017355836135770186,0.6675606820073922,-10.686772666620403
8,1.0,0.0,-2.223546635916458,-1.559368051222204,3.79746622688082
9,1.0,1.0,-2.96584993584119,-0.35290420040531145,6.882244186969602
10,1.0,0.0,-3.1755642074933386,-1.7242818303001737,7.968680399371642
11,0.0,1.0,-2.1023217558287963,0.9181029898386006,-8.757982451337202
12,1.0,0.0,-3.250081932219328,-3.1421141961252532,8.98025497714896
13,1.0,0.0,-0.2653577414287971,-0.028669208524246384,-5.624274064112456
14,0.0,0.0,-1.0981056968222016,-0.005901712297034678,-7.43850242140752
15,1.0,0.0,-3.513860291811092,-1.7161862349455124,8.753166156601711
16,0.0,1.0,-1.9614975137988118,0.6949304069540206,-8.641429471351529
17,1.0,1.0,-2.8740422200086706,-1.9224068676467603,13.798780714595399
18,1.0,1.0,-3.55142923323993,-1.499172067028142,16.417804763624016
19,1.0,1.0,-3.9936362633161693,-0.9971245508973575,15.178196298233647
20,0.0,1.0,-1.81662254815917,2.4251390141813585,-15.75444495892172
21,0.0,0.0,-0.6015612062783344,-0.7785341055071011,-6.644974943189876
22,0.0,1.0,-3.7597432300376203,1.651396403528718,-11.662724585612304
23,1.0,0.0,0.1031407051080735,0.2419900957121885,-6.332659214711073
24,0.0,0.0,-3.286495371602857,2.1772960130003156,-6.355221268519712
25,1.0,1.0,-1.690015055396219,-1.6494211749214183,9.17700845559704
26,1.0,0.0,-1.4313912736075936,-0.6551589634903501,-1.1139423246456808
27,1.0,0.0,-0.45672094030373445,-1.6209544754553027,-3.8603307832850686
28,0.0,1.0,-2.2828599470986832,1.9976792459307855,-15.20145336289734
29,1.0,0.0,-3.258662013850566,-0.2684722421085848,8.298988256720143
30,0.0,1.0,-3.2692308087044992,1.3098192997393827,-10.687548284560703
31,0.0,1.0,-1.949184478052593,0.3491736052523417,-5.600213460125101
32,1.0,1.0,-1.5509934946258517,-0.48693990378868346,3.116177958107818
33,1.0,0.0,-1.1936486287392287,-0.722196603291178,-0.35819242941332785
34,1.0,0.0,-2.7132638934535223,-0.8865292942694647,5.975133314026368
35,1.0,0.0,-1.141298885708344,-0.09362470946593349,-1.6608923447687136
36,0.0,1.0,-2.202035465100879,0.7333806309240425,-8.483141985004115
37,1.0,0.0,-1.882037898952167,0.06606055174406311,0.8995954313962407
38,1.0,1.0,-0.9862715110780089,-1.1085140610634685,2.4174669796598645
39,1.0,0.0,-4.619152495728292,-1.3072347383277352,14.607598808883807
40,1.0,0.0,-1.8732659307972412,-0.8729186343085827,2.2369202280672873
41,0.0,1.0,-1.6101490280077304,1.2329821823208156,-10.890750559031009
42,0.0,0.0,-1.1535564640381817,-0.903338534233483,-6.29824041967246
43,1.0,1.0,-2.180198219214406,-1.8932556793677766,11.75899283970843
44,0.0,0.0,-3.675198857068883,2.170226093526625,-7.036786232322044
45,1.0,1.0,-2.5177662776367717,-1.3053492486653464,10.7210483188361
46,1.0,1.0,-1.711198019688886,-0.43040649409871656,2.8975480436124275
47,0.0,0.0,-2.839929979555465,1.2264471625677085,-6.94474341841918
48,1.0,0.0,-2.677934758676212,-2.375582441994696,5.83192550397217
49,1.0,1.0,-3.6109451851943337,-1.6773661333391718,17.600805467955052
50,1.0,0.0,-2.5059648101306764,-1.580256218541105,5.503587163043897
51,0.0,1.0,-1.8321577555103314,-0.3647663885221937,-4.260104011805501
52,0.0,1.0,-2.376083607693441,0.8264077676962586,-10.181663972458702
53,0.0,0.0,-2.089960731460446,1.0773965736279194,-5.12230377829761
54,0.0,0.0,-0.11261742868863456,-0.3835772930103745,-6.593476909481835
55,0.0,0.0,-2.0907474233070604,1.7111194996904593,-7.534552871054273
56,1.0,0.0,-1.2474678176422151,0.45329977598450766,-0.17115304826977873
57,0.0,0.0,-2.8376233948267906,0.6414840045198613,-5.333848832765836
58,0.0,0.0,-2.857480804051992,1.1600356468557724,-6.537872057528207
59,0.0,0.0,-4.112773639050151,1.0353381267825728,-5.025805550190474
60,0.0,0.0,-1.81084250754575,-0.9590499319736051,-5.837105733378753
61,0.0,1.0,0.463013189990646,-0.7416173515725877,-4.293170368930163
62,0.0,0.0,-2.2572416257803516,-0.27678246006248397,-5.906228582322922
63,1.0,1.0,-1.7322272538759003,-1.6444315842099004,7.693992354460312
64,1.0,0.0,-2.3540830600636586,-0.2510089285619427,4.626028005627655
65,1.0,0.0,-4.090285082907342,-1.9348426646383858,12.346827556226053
66,1.0,1.0,-1.535008581202175,-1.018899197779593,3.847039202152063
67,0.0,0.0,-3.1036004425043906,0.8037116793738437,-5.6125181728979
68,0.0,1.0,-2.352544390333332,0.9665886071902526,-10.901154295377363
69,1.0,0.0,-2.706993723046039,-0.04206332054545314,4.97403772484439
70,0.0,1.0,-1.6092411662813806,1.3273918551042851,-11.506322731265794
71,0.0,1.0,-2.3457552635226064,1.2691741356574378,-11.622277016666818
72,0.0,0.0,-1.826212196500989,0.7327502149280078,-6.4778043935341465
73,1.0,0.0,-1.8398310832311155,-0.5246550333687039,2.2191439587712063
74,0.0,0.0,-2.0893417741702844,0.2989624821786696,-5.473668332341425
75,1.0,1.0,-1.5567631959971164,0.03585983856971897,0.05299613174979223
76,1.0,1.0,-1.509757188969403,-0.2221665509668398,-0.3749365525270809
77,1.0,0.0,-2.4594009369084766,-1.1443984952393178,4.308575971937276
78,0.0,0.0,-3.041590522095598,2.350163705705236,-6.357931747284473
79,0.0,1.0,-2.2483315603497873,0.20460256082962858,-7.159429475081964
80,0.0,1.0,-2.3956350057395164,0.4947866338788813,-9.203945064251087
81,0.0,1.0,-1.7405558943914559,1.7676623871818793,-13.48714477737041
82,0.0,0.0,-1.1081886867496475,0.6883425491678326,-8.310891492085407
83,0.0,1.0,-1.7404738646384958,1.6160000667911563,-12.231212845812706
84,0.0,0.0,-1.0043475012067553,-0.34396431327754373,-6.247386449436272
85,0.0,0.0,-1.5353485746325686,1.387984905883914,-8.30910644939178
86,0.0,1.0,-2.255007182014633,0.9729857677893411,-9.27434960132798
87,0.0,0.0,0.2944100252546029,-0.11614931591215727,-7.313039720656402
