,voter_turnout,var_1,legislation_passed
0,1.0,-1.9742536249156952,4.466609391777194
1,0.0,-1.9850925065640541,5.778208219525363
2,0.0,-1.3172208864422674,2.2125979052526756
3,1.0,-1.4958447706702933,2.4040335476536385
4,1.0,-1.9936229823966152,2.8326324628736055
5,1.0,-0.3026630060997253,-5.873047510803741
6,0.0,-1.3303321924268763,1.4100365010592535
7,0.0,-1.436069164328619,2.332295794655076
8,0.0,-0.6201478485988314,-1.0563986826348497
9,1.0,-2.4967652033593692,4.331871281525207
10,0.0,-2.370571939935263,6.84430460899525
11,1.0,-1.1632562862021916,-1.9874844322829102
12,0.0,-3.538392902466731,14.93385130634676
13,1.0,-2.1436005167875214,3.1585222242588404
14,0.0,-4.1173614486642,14.455614518198825
15,0.0,-3.131658616543737,11.161617705074688
16,0.0,-1.74001368372205,3.729744093486633
17,0.0,-1.753782977280999,4.02688932193893
18,0.0,-2.5782616413791417,7.579157855032577
19,1.0,-2.1098956384364556,2.1015362902965293
20,0.0,-2.5239498387146875,6.649172132595511
21,1.0,-2.493159085139996,3.9325647060035367
22,1.0,-2.6692298943887933,6.444961082150691
23,1.0,-1.8743454710302643,1.5985370190255939
24,0.0,-2.3976383727445616,7.749236163915713
25,1.0,-2.106956052483959,1.380049047674837
26,0.0,-1.3122482284994215,2.4438299679226727
27,1.0,-1.6800638115603763,0.5619347709431466
28,1.0,-0.6990482410835592,-2.574014843104693
29,1.0,-2.4892173881955655,5.807037297140899
30,0.0,-3.8660210942890716,14.055849526733914
31,1.0,-2.0537462628322483,1.9718558153733365
32,1.0,-1.0511550228546653,-1.212704204001429
33,0.0,-3.9328495835395927,13.78964594000611
34,0.0,-2.3873405703055504,6.639712638213121
35,1.0,-2.637325927905457,5.276377721660234
36,1.0,-1.442760876242187,0.047295951375558865
37,0.0,-1.2599151284117989,2.1389131774058745
38,0.0,-1.8184355292569214,3.960498815369913
39,1.0,-2.929411563273934,7.376427548342671
40,1.0,-2.8389594529046907,5.4547554589842
41,0.0,0.37635609580512996,-7.430914067297927
42,1.0,-1.7509862643431675,2.5603022346714654
43,1.0,-0.1589800793988534,-4.9233999897231815
44,0.0,-3.529109630948363,11.595126658499149
45,1.0,-3.59340404750529,10.172030838780449
46,0.0,-1.2177639411999364,0.9368387590185403
47,1.0,-1.5338575090534605,-0.08097694286292256
48,1.0,-2.1324816045656725,2.864374924254861
49,0.0,-1.537557767612805,4.7959585223844385
50,1.0,-1.9877108475069185,3.3528913359667762
51,0.0,-1.8504911659112122,3.878642127428793
52,0.0,-0.5580572888593678,-2.009171449852802
53,0.0,-4.46934576708569,16.30051813915709
54,1.0,-0.9566212788626676,-1.5056930033049727
55,0.0,-1.8832974908433573,4.887680865742347
56,1.0,-2.3770690987520418,4.0755473356019625
57,0.0,-1.619808333262403,3.3497401137152547
58,0.0,-2.104167364836536,5.713300369464581
59,0.0,-2.57151094745156,9.575282700415546
60,0.0,-2.27639058066761,5.875649445762252
61,1.0,-2.5481794592909717,5.338934275823009
62,0.0,-3.249970348612283,9.670038171034928
63,0.0,-3.1884729229366435,11.627179576174267
64,1.0,-2.1864559939938437,5.1309473110110115
65,0.0,-4.51566095304254,17.711957050427525
66,0.0,-1.5164916776553006,3.2079789162546763
67,1.0,-2.460034056165686,5.510728583312676
68,1.0,-1.7542701127431155,1.8466751081829686
69,1.0,-3.5080513179891613,8.318313830203152
70,1.0,-3.7020873244743617,10.853044566586489
