,interest_rate,vacancy_rates,median_home_price,var_3
0,0.0,0.6166848248006942,-1.7352383238542322,5.746688568397299
1,1.0,-2.947881976515723,-2.391078568927364,8.375405115008931
2,0.0,-2.166565618011209,1.9079044285247901,-5.307316458788244
3,0.0,1.196631617964081,-1.953238512632436,6.64607797856003
4,1.0,-2.9632211134392534,-1.655737322746596,7.178983214858697
5,1.0,-2.7169985065333133,-1.1899751629362614,5.157441061140362
6,1.0,-2.260068172311149,-1.8477909111192015,7.4551637970148406
7,0.0,1.8622835508028395,-2.3134422693266585,8.376913801277546
8,0.0,2.798781978593045,-2.804374598303756,7.944949064641292
9,1.0,-3.593925677804565,-1.518587822618022,6.734395225900916
10,0.0,-3.2811326131941874,1.2189734325552677,-3.199258843625717
11,0.0,-0.08646472755562962,-1.3789029535444022,4.544074381400701
12,1.0,-4.455065137897926,-0.8457059787612522,4.607151621027887
13,1.0,-5.567540242808889,0.8860250869514157,-0.8107214165131493
14,0.0,-0.3647656272991482,-1.3784221729725223,5.153959240586667
15,0.0,0.33259540559914147,-0.3736455589195333,1.295135254700653
16,1.0,-4.577556268036451,-0.706398942599767,4.1588200661946715
17,1.0,-2.783078661266205,-1.176370339988761,4.979219491441033
18,1.0,-6.3855568785511085,1.242908723200454,-2.4395004344033904
19,1.0,-4.32873933662711,-0.4203406179014426,2.387536789435904
20,1.0,-4.713628087254807,0.6455151024627859,-0.13396218654944964
21,1.0,-2.531098011334504,-1.5834671912548308,6.035170412132965
22,0.0,1.6768973375282532,-2.3190116792321493,8.1699710396927
23,1.0,-4.7032176572469675,0.2627981443211216,0.8320718874250812
24,0.0,2.2558383079910613,-2.7527201803767607,8.324571055727095
25,0.0,0.6278661361936644,-0.8999056387005564,3.7672169691743544
26,1.0,-2.1372817035379654,-3.1549140342474122,11.670803480977245
27,1.0,-4.637531745831541,-0.39929066189795115,3.2981827669567396
28,0.0,-2.032758927980689,-0.08072161430301628,0.3973785052836524
29,0.0,0.4328371506606389,-0.8828462646870145,4.089650028943335
30,1.0,-2.9303595783787637,-1.312075862568997,5.1646041243632395
31,0.0,-0.26766096791681193,0.61170264117691,-1.892975351639502
32,0.0,2.7182509910902213,-2.6702728877772266,8.954125448426248
33,0.0,-0.6525738596727748,-0.4342503420253977,0.9572658082842767
34,1.0,-4.749556242980489,-0.5461569734430016,3.786724774739545
35,0.0,1.580654832290808,-1.958761996525649,7.155674197920474
36,1.0,-5.116161977291626,0.5711103458313018,0.45387872516829075
37,1.0,-3.3960479050904855,-0.09224897902369544,1.595168618657922
38,1.0,-4.0183259730863,-0.77488596433705,4.254958868545528
39,0.0,0.204840597515902,-0.8808894041369453,2.7546641991055454
40,0.0,0.6482960547805923,-1.5676053591466037,5.600922666430246
41,1.0,-4.443426479795003,-0.45655779590063683,3.2386951204994507
42,0.0,2.5446857854537366,-2.4675531673281537,7.508017033401952
43,1.0,-2.1345014413917385,-2.550390162394608,9.545745173573742
44,0.0,2.2325551806055266,-1.4631235043414117,5.292140588036853
