,lifespan-0,lifespan-1,rate_of_obesity-0,rate_of_obesity-1,vaccination_rates
0,1.0,1.0,2.532530363878667,0.9512049423928497,6.509134907002607
1,0.0,0.0,3.9158301654132295,-2.3703132698344356,11.004444299244891
2,0.0,1.0,4.3841758538323194,-1.8641124652935843,23.296641273177222
3,0.0,0.0,3.4668583319411335,-1.870047455690159,14.10442897897958
4,0.0,0.0,3.2477291966031694,-0.7681435838965168,14.56454675756936
5,1.0,0.0,3.611263919186907,1.5678154517651657,11.876461217808155
6,0.0,0.0,4.12325680112269,-1.3053975663197468,15.248587038459519
7,0.0,0.0,4.388500047360017,-3.3181934389365733,12.053527301858344
8,1.0,1.0,4.157324726289536,3.4620513088628178,5.959969138976596
9,0.0,1.0,2.5051474539555145,-0.3522712751373783,18.57858988435197
10,0.0,1.0,2.770999892191769,-2.8596670466754874,20.81311930318829
11,1.0,1.0,2.940701847107189,2.442363320477307,0.2856377530172236
12,0.0,0.0,5.7679448757172835,-3.1878984651208015,16.52497371232693
13,0.0,1.0,4.22355789720709,-2.6079463158134084,22.921765228603974
14,0.0,1.0,3.122720643948155,-1.6406698603103158,18.94115839790682
15,1.0,1.0,5.530511745556895,2.8399347272628352,2.3782947874439753
16,1.0,0.0,4.858422777013898,2.3211348479081217,13.493343473339575
17,1.0,1.0,4.033620560320107,2.8288824659276,5.803593991274532
18,1.0,0.0,3.6493052276821705,0.2683128090761051,6.204806274320616
19,0.0,0.0,3.64398817258443,-1.7432075966123863,14.314771953729917
20,0.0,1.0,3.9270424531713024,-2.696120474095662,22.79725479642407
21,0.0,1.0,4.641237436069955,-2.5278251245568364,21.0419221351543
22,1.0,1.0,4.832430012614605,2.6125425763678685,2.3853727336464106
23,0.0,1.0,3.282356718689814,-1.4878809420744528,20.103413789752246
24,1.0,1.0,3.4053629324070602,1.861971532046,0.8396245748000646
25,1.0,1.0,4.059371138151156,1.9680603109682906,4.539328519267868
26,1.0,1.0,5.388388810864374,2.184717188909075,1.587369340048987
27,0.0,0.0,2.608734748248941,-0.8552109165234494,7.81701490946066
28,0.0,1.0,2.750082165250423,-1.4631296199352584,18.030351862089915
29,1.0,1.0,4.380724062616714,2.9603817833877226,2.061206932714578
30,0.0,1.0,3.6774081859603838,-2.4905655455661595,18.399427700597602
31,1.0,1.0,4.064120752915606,1.8316121569143045,6.477038534562479
32,1.0,0.0,3.364093675879343,1.4922692059120242,8.774420595370845
33,1.0,0.0,4.366558625025255,1.0661169287132,7.432109186374991
34,0.0,1.0,4.092360638933727,-2.6049180893635424,23.150834538032242
35,0.0,0.0,3.8593800356238575,-2.224343879190712,14.80357431081389
36,1.0,0.0,4.75918468781194,1.9431449977530268,8.348078858816276
37,1.0,1.0,4.9949847745671905,1.6771003906112947,5.124261405190767
