,life_expectancy,obesity_rates,hospital_beds_per_capita,var_3
0,0.0,0.16261080900359481,-1.6453421719046173,-0.8422517790292069
1,0.0,0.5504230678171737,-2.0197124172585426,-1.6812111643652443
2,1.0,4.096222417341812,-2.8566544718153475,-1.7742325125191858
3,0.0,1.0080275877884717,-2.3854890643406828,-1.8722970208916228
4,1.0,4.050672793479663,-2.1100888017339,-0.8771525809094758
5,1.0,4.350387042996029,-2.7898028753699737,-2.475573909826911
6,0.0,1.020253042470236,-1.6988346118920248,-1.462522409519519
7,0.0,0.2765777165359867,-1.6607198609826925,-0.2889113327176034
8,0.0,0.29663010595020456,-2.727967669724866,-1.2521704867765748
9,1.0,4.336081128341937,-2.211353815032544,-1.7880834161780057
10,0.0,0.5540760190624249,-1.5117006054327957,-0.7180492132614653
11,1.0,4.280517976368094,-3.072351994818499,-2.109037796155766
12,1.0,3.3936488351842398,-3.106370370239011,-1.489208123847351
13,1.0,4.145278755420546,-2.5074274472080322,-1.9297173697099232
14,0.0,0.3581570618964717,-3.53692801916249,-1.560355042900615
15,1.0,4.085220373411204,-1.794133942020527,-1.0666921083891971
16,0.0,0.2296938923962476,-2.4007815512483197,-1.227121590744037
17,0.0,0.17716049648806717,-2.8200407984810587,-1.354740691146541
18,0.0,0.2749066702758659,-2.756424496924409,-0.8290576113099573
19,1.0,3.7357433833071054,-1.6819196902714812,-1.0393877833603995
20,1.0,4.244742253022715,-1.553788338507295,-0.9419142624130794
21,1.0,4.500502123523315,-3.346078099454021,-2.7480753695868607
22,1.0,4.192074373348137,-3.2855898683103626,-2.1913142736368005
23,1.0,4.067284240670146,-3.6766291885881532,-2.4398309068774755
24,0.0,0.4458095338589062,-1.5787335072997257,-0.6561301197260208
25,1.0,4.567278234309539,-2.098931804263525,-2.464738430423137
26,0.0,0.4260611680171593,-2.0057435357633118,-1.0667266374133753
27,1.0,3.9386097000972695,-3.0259864045802405,-1.785079483450692
28,1.0,4.162335317902692,-1.7869808025901635,-2.1900352757277197
29,0.0,0.41061186451920273,-1.5455887099858678,0.029466820459742804
30,0.0,0.5040018497783151,-1.9099313619853016,-0.7409242391617217
31,1.0,3.812572618082968,-2.6691027376297147,-1.5299390640633115
32,0.0,0.5273840095826252,-2.540890975293094,-1.5550427884607347
33,0.0,-0.11856604036656987,-2.3292952925266768,-0.7037391514835696
34,1.0,4.05152553700629,-2.2119220184642914,-1.463994310978473
35,1.0,4.595846878134022,-2.1755657480741735,-2.278671405496989
36,1.0,3.901278228333736,-2.6870709182400487,-1.3709889756394829
37,0.0,-0.008303080917853724,-3.606937236219146,-1.4336346461934368
38,0.0,0.5790678298976804,-1.2541552566902985,-0.4411065484082084
39,1.0,3.6928268283833425,-2.6357964278332764,-1.8017868544881501
40,0.0,-0.0003774056520421034,-2.6360361532234484,-0.6977574638325033
41,1.0,4.151773385352121,-1.8084808786046052,-1.699174760681151
42,0.0,0.8810753039964369,-3.203247426895987,-2.97208001622059
43,1.0,3.9933783036850836,-2.288107959721575,-1.3676244352823101
44,0.0,0.678823823089074,-2.2493231976095642,-2.266211944243035
45,1.0,3.863544186353556,-1.0852556836108496,-0.7642722882590145
46,0.0,0.7742791623747123,-1.1957714522026621,-0.5879074269784754
47,1.0,4.623144306481789,-2.1138182982473497,-2.3149057458885207
48,1.0,4.158680762590528,-2.4672405527014214,-1.5381703590386095
49,1.0,4.406769391041426,-1.931068486305051,-2.173366308745767
50,0.0,0.4378068661204391,-2.712671625437575,-1.7993266962073322
51,1.0,3.7778195257745497,-3.4817385572773896,-2.3749678203892
