,interest_rate,vacancy_rates,median_home_price,var_3
0,0.0,-7.524212837402839,3.709467915057709,-18.002124722624643
1,0.0,-9.730957582361267,4.980767832785882,-24.265867222427698
2,0.0,-9.979528361669354,5.240855843156205,-23.65210480030494
3,1.0,-13.161982445432235,6.583084494406042,-33.09302732861537
4,1.0,-8.478104380564005,4.195654267699897,-22.97416973894842
5,1.0,-9.046496551551018,4.530601962402753,-24.366429832525167
6,0.0,-7.251928658133398,3.738911467511083,-17.178822202937205
7,0.0,-9.860566565609117,5.000815969283114,-23.603398677647295
8,0.0,-11.035780515683618,5.560907847366145,-26.428743793567428
9,1.0,-13.674109902213916,6.945021561540862,-34.49437427339952
10,1.0,-8.70858666171821,4.428525140493938,-22.879154878380206
11,0.0,-11.195291582123643,5.804191723441514,-26.552035889243037
12,0.0,-7.40181784524142,3.7690740326726937,-16.929393034525084
13,0.0,-12.42688873944714,6.311074662470265,-29.568143935761245
14,0.0,-9.452770618662045,4.946011686843997,-23.28787925156551
15,0.0,-8.432095360766674,4.2980981182385545,-20.37079312775345
16,1.0,-6.694358909243002,3.1574834901338495,-18.669394348114178
17,1.0,-4.390442012273431,2.0437874690783944,-12.71793760318831
18,0.0,-7.114823781138613,3.6041132949032004,-17.218236077425836
19,0.0,-8.947340959065473,4.454512550403108,-20.91580144819304
20,1.0,-10.085827255643355,5.288275343142328,-26.350841045565378
21,1.0,-4.767905438155632,2.308349410040007,-13.79214215085129
22,1.0,-9.413174970865962,4.462556441842107,-24.666134517060723
23,0.0,-8.772020866705141,4.570195225457651,-20.892541751373777
24,0.0,-12.297191994778917,6.33784975151315,-29.380535932925486
25,1.0,-12.417868424062444,6.288734419232522,-31.872635837404236
26,1.0,-11.310931603584168,5.812065962286752,-28.127173880919
27,1.0,-9.938440626689893,5.089525128940022,-25.760618668872656
28,1.0,-10.63240829533409,5.713716296625333,-27.732541689902778
29,0.0,-9.800680085206647,5.117407629004329,-24.32409859866091
30,0.0,-10.452065680484502,5.044748434753148,-24.833186849567
31,0.0,-11.645083426511711,5.984982783362229,-28.496073657384212
32,0.0,-11.173071573637863,5.902076573405229,-26.750497692769585
