,disease_incidence,var_1,average_lifespan,vaccination_rate
0,1.0,6.054683998066904,-1.3235278357859601,-19.47180199184457
1,1.0,4.026769767445959,0.26515401510798225,-10.299807634385266
2,0.0,5.277969344553904,1.531430712587347,-2.9384833710426395
3,1.0,5.739256948953932,-1.9415803826813838,-24.074093174637085
4,1.0,4.9665889564947125,-0.3802795982649586,-17.059621981191476
5,1.0,3.8988996671413836,0.0216511351560615,-11.663453561353116
6,0.0,4.469824681623834,1.049635549698582,-5.7937819809919375
7,1.0,3.89164216377636,-0.15980138968450255,-9.61044735157816
8,1.0,3.529394665943878,-0.5060049255423846,-16.229733084973986
9,0.0,5.5493291438873005,1.081221116837566,-5.559444155908636
10,1.0,1.9994016196200968,-2.0040770975321474,-18.269856230871376
11,0.0,4.765327289249035,0.6819444621223302,-7.622875528740757
12,1.0,5.578891491814733,-0.7085146140130418,-15.521397856648216
13,1.0,6.859430622660353,-1.8118871552399054,-25.93077324908191
14,1.0,4.754018158705374,-2.5042168837140357,-25.87939168330509
15,0.0,5.3068487770267705,0.580013016932811,-9.61505904850151
16,1.0,2.8938693552685875,0.14113044258399635,-7.426616386649376
17,0.0,2.890281699203098,0.7899612439048141,-3.9699559049000497
18,0.0,3.5718500063227143,0.30940448799581155,-4.3832978486678025
19,1.0,5.167185277853001,0.18848500978317184,-12.264083046793434
20,1.0,5.4896326003049465,-0.21310660435972345,-14.385591693040784
21,0.0,3.6220268369044644,0.7095517096652473,-7.359464353150951
22,1.0,3.472800627734007,-0.6178046738055968,-12.74981855480037
23,0.0,4.271315517532358,0.806430472901958,-5.346167241664821
24,1.0,3.1255987300711205,-0.45157704636416607,-10.984809018214484
25,1.0,4.375786566903213,-2.2209594175748264,-23.350361873462553
26,1.0,3.6675412357204378,-0.7787355672411284,-17.859419989315374
27,1.0,5.411694127718748,0.0699632266685237,-15.374626472019063
28,1.0,5.0083566769556915,-0.5436931274413687,-16.92343226113265
29,1.0,4.297062895525559,-0.9596930214361704,-17.162029013612944
30,1.0,6.839401332928579,-3.154144207542104,-30.41199998076225
31,1.0,4.632292122473628,-0.7621691960998737,-15.465186308162963
32,1.0,6.570924294039738,-1.067620898803999,-20.944825539674852
33,1.0,4.163238197568798,0.40544443794162816,-9.571959007242747
34,1.0,2.881487675661867,-0.36624143351474003,-13.774888578266147
35,0.0,5.351846546778848,2.271268612831896,0.7765808545444024
36,0.0,4.775042445105461,2.8154236815326286,4.117813715260212
37,0.0,4.549833602106431,-0.33008924918567123,-10.44946915282429
38,0.0,5.151607245482593,1.1190602787917052,-3.923141390463819
39,0.0,4.278961765032528,0.4305737350995608,-6.374813286681314
40,1.0,6.169987389100536,0.7172328586792601,-13.78574582377794
41,1.0,3.4710425180460893,-0.21790823862716743,-13.117113701209425
42,0.0,4.361371285866799,1.9629346955260594,-0.6215956877060913
43,1.0,3.6039561644455045,-1.1163025781909475,-14.507631209542913
44,1.0,3.999520298527197,-0.36669179331038726,-13.725332452519122
45,1.0,3.9570426539242476,-1.5167401796086606,-19.312800885230907
46,1.0,5.864050527618035,-1.365013252040904,-20.4501567319741
47,1.0,3.0482707544430956,-2.0793427321680458,-21.09127676192019
48,1.0,4.8444492021760315,0.7793871740773282,-8.925606130894751
49,1.0,3.201313030821826,-2.3767725756186753,-22.03368392734775
50,1.0,4.5134941724998905,0.01519726466952611,-12.116228539265274
51,0.0,4.244316108793574,1.4044486324618388,-4.061404999683356
52,1.0,4.953218110265241,-0.39585234465279795,-14.757965640936998
53,1.0,3.4837934357101323,-1.454296138592055,-17.83939293310937
54,1.0,3.2915075750827474,0.41853692270488346,-8.346822939694572
55,1.0,4.835028635520291,-1.332759433098594,-18.083767866318738
56,0.0,3.1843562022009237,0.7982099842190585,-5.119396802124214
57,1.0,4.022716906515133,-1.8130937404062462,-22.374236085161098
58,1.0,4.981054877599301,-0.8051300335597473,-16.823085157052926
59,0.0,4.936764756684422,1.7903776175818171,-2.7220251491506096
60,1.0,4.170084135759313,0.3772887093597256,-10.507953103328228
61,1.0,3.7998286382750353,0.20153496384743447,-11.16896188463676
62,0.0,5.072419782615664,1.1492144180747388,-3.9989156789015428
