,home_price-0,home_price-1,empty_units_rate-0,empty_units_rate-1,home_loan_rate
0,1.0,1.0,-3.441299638530958,-1.0497758338268302,20.944089209346032
1,1.0,1.0,-3.8538957303244503,-1.2668374657272639,22.003435060110974
2,1.0,0.0,-5.1865344710324255,-1.8666525633765532,22.875560683915896
3,1.0,1.0,-2.6801674837539684,-1.3093291869192698,18.365837788620006
4,0.0,0.0,-3.8607377077550327,2.4915749635865034,-4.791349496840659
5,1.0,1.0,-5.45212181140713,-2.255870625242494,32.303464163092
6,1.0,1.0,-6.225564421832395,-3.62247167208801,42.050584427000494
7,0.0,1.0,-4.765286610124359,2.1990114290523057,-8.274688473836616
8,0.0,1.0,-2.4277108678244983,1.5558096674805402,-6.816254392456463
9,1.0,1.0,-2.5236152456748933,-0.35054874124623214,12.412420047591045
10,0.0,0.0,-4.035430905872387,1.0807829666097648,-4.206948347489331
11,0.0,0.0,-2.953008837808617,2.176565070365169,-3.8110941273985484
12,1.0,0.0,-5.124853301933568,-0.888152656505848,20.493571279279713
13,0.0,1.0,-3.487253483007833,1.5719219987017057,-7.097667664516316
14,0.0,1.0,-5.377882380470983,1.6088495759648895,-2.8586146793377702
15,1.0,0.0,-4.111663356732137,-1.7332241032685891,16.459967397867963
16,1.0,0.0,-3.763856989960516,-1.1360912398786007,13.487481775621305
17,1.0,1.0,-5.3604762202467935,-2.408083583677391,33.05752935560552
18,0.0,1.0,-2.1121727835511126,0.9488478788646666,-3.785856784887963
19,1.0,1.0,-3.402970474877895,-1.0394370948509366,17.674921002838627
20,1.0,0.0,-5.544511728152742,-1.771414940523095,22.436894300073572
21,1.0,1.0,-4.103534093890797,-1.310097267672797,25.750944021949586
22,0.0,0.0,-5.453338460615221,2.133079110384095,-3.0146214931131174
23,1.0,1.0,-4.271694748103686,-3.2435685828435403,32.53824167568098
24,0.0,1.0,-3.5949607727011452,1.312581333229437,-5.022243760812763
25,1.0,1.0,-5.534218477057492,-2.2927843494248767,34.3802872810012
