,innovation_index,releases,sector_market_share,var_3
0,1.0,-9.842776799816557,-2.098850882312587,-12.608307333248828
1,1.0,-6.392755297664921,-1.3806760039625614,-6.768942528997608
2,1.0,-3.8052151552416555,-0.7689271116438419,-3.251522322467711
3,1.0,-3.169880185268601,-0.5211414844343278,-1.8202141334719437
4,0.0,-6.273462383191342,-1.5293533284846348,-10.280833155533278
5,0.0,-6.108855522012262,-1.6128715803010205,-10.822313426121655
6,0.0,-4.341626759789877,-1.079878719067266,-7.610826458029978
7,1.0,-9.310649629901512,-1.9591951591103904,-11.18916971609909
8,0.0,-10.628360401721194,-2.573538076096549,-17.14264084276781
9,1.0,-3.778952626514268,-0.8163096376608673,-3.4945162953064277
10,0.0,-9.249465486349754,-2.2130994319519726,-13.948755204727508
11,0.0,-1.3888501830847304,-0.5394980411800587,-3.7246544678597893
12,0.0,-5.58698411632197,-1.3988807579968219,-10.78813677305542
13,1.0,-4.058992100180928,-0.8868555662315365,-3.595654330493154
14,1.0,-9.110314500497779,-1.9005308435054822,-10.909635850199127
15,1.0,-11.023297927117174,-2.4064762930796997,-13.26879830179949
16,0.0,-3.9581505416894833,-1.1058860437461706,-5.973931309353697
17,0.0,-8.942632379187636,-2.095441917053996,-14.047618146799561
18,0.0,-15.415532290494204,-3.643879041493918,-23.697662150750602
19,1.0,-7.669322632473649,-1.4461492193659449,-8.057713896949474
20,1.0,-5.100792266800762,-1.1350687892336024,-5.285166114282235
21,0.0,-8.31468813163077,-1.9031768878908297,-14.021792760678736
22,1.0,-7.4063191676962,-1.4887194271268165,-7.940187025718466
23,1.0,-13.17517361385401,-2.618678608009164,-16.79733624341335
24,1.0,-10.14994774677462,-2.1991064640045903,-12.518790946839783
25,0.0,-9.278089815666636,-2.1901210346749003,-14.639170379861307
26,1.0,0.5300978960202226,0.1868301774569563,4.0549349626884235
27,1.0,-3.4454239148250663,-0.7130914884401054,-2.235776541995345
28,0.0,-9.903766340756427,-2.374173688880549,-16.233426374106823
29,1.0,-15.35596908504685,-3.2082552976216876,-19.57268678709271
30,1.0,-8.972491162559862,-1.8270287582529185,-9.999776682792241
31,1.0,-5.997568002729975,-1.2731930154597315,-5.117262512151452
