,political_rallies_attendance,participation_rate,campaign_donations,var_3
0,1.0,22.484424816444573,4.498964806385264,11.832001254035294
1,0.0,21.65248217943575,4.485336399374051,14.32309746007237
2,0.0,22.554227422062127,4.735821207172606,15.189084094828164
3,1.0,10.00859519601256,1.7765819505535334,2.0779748606736677
4,1.0,11.792814370805374,2.308256134255412,4.321713256497947
5,0.0,22.273806110029415,4.640546945129474,14.531127961660074
6,1.0,24.020711437470133,4.855814195091387,11.880901505351467
7,1.0,19.535546741931455,3.8756870685687863,9.302649906748893
8,1.0,7.124252939730029,1.3227831236964858,2.3693714683083646
9,1.0,18.91009427040295,3.794263208920174,8.945343239108164
10,0.0,24.694777007050604,5.041826043711935,16.729141754399755
11,0.0,15.90476085520518,3.1727352726878157,10.83618706806437
12,1.0,26.90021495678623,5.4656152430821345,14.356636906004317
13,1.0,21.021770553385522,4.322734219889622,10.462519073152485
14,1.0,29.91785766064955,6.138436836480437,16.49069496551316
15,1.0,13.008274424364037,2.477950592117466,6.192247601357461
16,0.0,19.173025271185768,3.869737933083349,12.041487721795368
17,1.0,21.670525980840665,4.347237990517693,11.333780282843675
18,1.0,14.968274866816088,3.0178260842420035,7.940313534031357
19,1.0,16.21637204180352,3.078321766431169,6.403019354847209
20,1.0,10.231914344510521,1.9341636263441373,3.740409265380083
21,0.0,20.083926224525825,4.162061509631308,12.072272598638387
22,1.0,17.785773137715402,3.503886651351947,8.934807100394577
23,1.0,25.054301397964633,5.052836338501363,13.505956084761
24,1.0,18.258338567750567,3.685599395133533,7.7948584499708575
25,1.0,25.28175575443647,5.14213222048512,14.234076476499348
26,1.0,15.853605279715715,3.218033782196559,7.94414216613271
27,1.0,20.748933917386434,4.09361324338192,10.844395865176514
28,0.0,21.60027135376914,4.493975429575802,13.335226053421543
29,1.0,18.488096699042337,3.67588062120215,8.10864051857087
30,0.0,14.925505619313752,3.0456287911263558,9.968970241500013
31,1.0,18.14088437068322,3.5378650470402224,8.575262545154931
32,1.0,16.87997607745453,3.370219346714663,8.245027249236896
33,0.0,26.221748788592794,5.416820615517733,17.184709293864923
34,1.0,13.05715366883286,2.5624043951685156,4.995984057589035
35,0.0,22.69281329271131,4.756993363164842,14.921850820097198
36,1.0,18.281788650365115,3.7042574809592965,8.92373152678402
37,0.0,24.148823873080328,4.886225628146867,16.17340268309327
38,0.0,19.87373504688641,4.087758142417739,12.717456179798337
39,1.0,24.46583261332063,4.947788524671497,11.810397879623288
40,1.0,28.785279361025623,5.8600474486506755,16.197787978894375
41,1.0,22.55399959045759,4.551098978802774,11.761713247273862
42,1.0,20.65357144213905,4.1761068825288445,11.248808689324878
43,0.0,25.26763795163959,5.1723838606441905,16.531332328799397
44,0.0,19.432732142021525,4.020055017291479,13.86276199851967
45,0.0,26.404379393486266,5.39349845952759,16.15732940312821
46,1.0,21.800223140073786,4.46739186154939,11.60930882252995
47,0.0,21.348018989803013,4.308740294050657,14.319464843664232
48,0.0,21.10958759415173,4.400664828491186,13.697695203888797
49,1.0,15.495456682241667,3.0132828193432344,6.813014305516573
50,0.0,25.46352122108372,5.235994043560307,16.7266185540219
51,1.0,22.349353505468688,4.559816529332867,12.38750863348381
52,1.0,15.857251254954752,3.1729336281485594,8.108625635259118
53,1.0,20.852757476972815,4.159988382339447,10.232947644425137
54,1.0,20.39388614476699,3.9927899425118523,10.375622575505798
55,0.0,14.85488334099685,2.977129717373786,10.705629399479669
56,1.0,15.78966663355545,3.092364708134337,7.026172393188909
57,1.0,20.011359880207507,4.028769703873476,9.23967449552956
58,1.0,22.6740264052743,4.619536077285084,12.782231010745052
59,1.0,17.75612195372512,3.550563115250538,9.017710957789113
60,1.0,26.27356860348956,5.323087139111122,13.511555334645324
61,0.0,24.324267414561497,4.9921300385255485,16.498962374930432
62,0.0,7.462958861465685,1.4765630953842015,4.647398793616887
63,1.0,23.636212236519825,4.77803625522115,12.670929798638419
64,1.0,30.664731032619777,6.22298089371221,17.445237392638763
65,0.0,23.615631087555297,4.8828265008140335,15.603947318697058
66,0.0,16.005676445936633,3.22085252160391,10.245294523204599
67,1.0,27.553369627516876,5.65299180087173,15.999117176130735
68,0.0,19.774787161848597,4.160163042919602,12.92659581847027
69,1.0,21.92556205058735,4.51726879216765,12.031313724808696
70,1.0,38.05600330496303,7.790038877967144,23.330941284519852
71,0.0,16.36505077389488,3.3290950182350203,9.692172835452533
72,1.0,18.621823315604015,3.736644194437205,10.153586313775955
73,0.0,10.033744689462964,1.9650696453345753,6.129873553901698
74,0.0,15.660168651295812,3.140252927236493,9.151088521438004
75,1.0,19.997603327752156,4.246790925303522,10.286540931402003
76,0.0,24.47115236189644,4.952784599498633,15.994067622699944
77,1.0,27.36758718455076,5.534076973572381,14.712286061525306
78,0.0,18.257104550014354,3.7283692182689805,11.07885443412403
79,1.0,21.74120294192176,4.339168269746671,11.541108422724413
80,1.0,28.9786729550096,5.910665805569885,16.319305946408672
81,0.0,14.915131266637164,3.0649218589413723,9.376230264049846
82,0.0,17.886267748866377,3.555528951676144,11.616458380492011
83,0.0,21.520826277713784,4.388427690314856,12.565717251693028
84,1.0,21.61361088598544,4.346048226798668,9.977052273282705
85,1.0,18.669026460657744,3.753268924799407,9.87193831114228
86,0.0,20.63997097883425,4.218231290486388,12.295291163375351
87,0.0,10.20509053051365,1.9498370320571152,5.158848330071533
88,1.0,18.82451324341699,3.696914458053949,9.396903637867693
